doctor_id,name,specialty,lat,lon,pincode,area,tier,avg_patients_per_day,years_in_practice,primary_molecules
DOC001,Dr. Sneha Desai,Gynaecologist,19.053142918568675,72.88364104112638,400009,Kurla,B,77,6,"MOL01,MOL04"
DOC002,Dr. Varun Patel,Cardiologist,19.081435598107632,72.87085706911647,400006,Dadar,C,36,13,"MOL04,MOL05"
DOC003,Dr. Tanvi Sharma,Cardiologist,19.140756647392607,72.84492922291489,400002,Dadar,C,22,26,"MOL05,MOL02"
DOC004,Dr. Megha Agarwal,Cardiologist,19.091038292303562,72.8955551138543,400005,Thane,A,77,25,"MOL02,MOL05"
DOC005,Dr. Rohit Reddy,Neurologist,19.07287981654916,72.82769799098287,400007,Powai,C,29,18,"MOL02,MOL05"
DOC006,Dr. Swati Sharma,Diabetologist,19.078975145291377,72.83612212872539,400006,Mulund,C,75,18,"MOL03,MOL02"
DOC007,Dr. Rohit Verma,Cardiologist,19.142969765234255,72.90081203795644,400008,Borivali,A,72,32,"MOL03,MOL05"
DOC008,Dr. Yash Shah,Cardiologist,19.113340375651042,72.90714605901877,400004,Mulund,B,37,7,"MOL03,MOL05"
DOC009,Dr. Simran Verma,Neurologist,19.13036720768991,72.83865700588859,400006,Andheri,A,76,19,"MOL02,MOL03"
DOC010,Dr. Suresh Gupta,Neurologist,19.139255899848997,72.87393422419156,400007,Thane,C,70,23,"MOL04,MOL01"
DOC011,Dr. Kavita Desai,Gynaecologist,19.130744015516406,72.90960912999235,400001,Mulund,A,53,15,"MOL03,MOL04"
DOC012,Dr. Arjun Nair,Neurologist,19.081800347497186,72.83100519245276,400006,Bandra,C,77,22,"MOL05,MOL03"
DOC013,Dr. Swati Nair,GP,19.072793516254194,72.86271077886262,400005,Chembur,A,32,29,"MOL04,MOL02"
DOC014,Dr. Komal Iyer,GP,19.131801476592248,72.90607305832563,400009,Andheri,B,38,16,"MOL04,MOL03"
DOC015,Dr. Shreya Kapoor,GP,19.05069521305312,72.87107473025776,400004,Chembur,B,70,13,"MOL01,MOL03"
DOC016,Dr. Simran Nair,Cardiologist,19.091741100314877,72.84221078104707,400004,Ghatkopar,A,71,15,"MOL02,MOL01"
DOC017,Dr. Suresh Shah,GP,19.061986536733368,72.85376151714036,400010,Bandra,B,46,15,"MOL04,MOL05"
DOC018,Dr. Ritu Shah,Diabetologist,19.14429097039125,72.85232029320207,400001,Bandra,B,34,14,"MOL05,MOL04"
DOC019,Dr. Vikram Malhotra,Diabetologist,19.101879062174337,72.89030189588952,400002,Kurla,A,71,32,"MOL05,MOL03"
DOC020,Dr. Aarti Jain,GP,19.086362960237928,72.91717820827209,400009,Kurla,A,67,33,"MOL04,MOL03"
DOC021,Dr. Aditya Kulkarni,Neurologist,19.14624472949421,72.84517822958253,400008,Borivali,B,48,7,"MOL03,MOL02"
DOC022,Dr. Varun Nair,Gynaecologist,19.099724850589237,72.85008783098168,400009,Bandra,A,29,17,"MOL04,MOL02"
DOC023,Dr. Rahul Mehta,GP,19.078484049437748,72.82368869473545,400007,Thane,C,49,29,"MOL01,MOL02"
DOC024,Dr. Swati Verma,Neurologist,19.110956433397988,72.87026790232288,400001,Powai,B,50,3,"MOL03,MOL05"
DOC025,Dr. Kavita Chopra,Neurologist,19.055147875124998,72.84786464642366,400009,Powai,A,51,17,"MOL03,MOL04"
DOC026,Dr. Nisha Sharma,GP,19.140826588596664,72.84395618906669,400006,Mulund,C,30,32,"MOL02,MOL01"
DOC027,Dr. Ritu Sharma,Cardiologist,19.064489487209123,72.86894527602776,400007,Dadar,B,31,6,"MOL03,MOL04"
DOC028,Dr. Pooja Desai,GP,19.148565045411058,72.84420552715115,400006,Thane,B,37,29,"MOL03,MOL01"
DOC029,Dr. Divya Sharma,Neurologist,19.117213554740587,72.89616196153287,400001,Thane,A,61,7,"MOL01,MOL05"
DOC030,Dr. Aditya Desai,Cardiologist,19.07376375439924,72.89282163486118,400010,Dadar,A,28,33,"MOL01,MOL02"
DOC031,Dr. Shreya Kulkarni,Gynaecologist,19.086778313271925,72.88323058305936,400003,Powai,C,67,10,"MOL02,MOL03"
DOC032,Dr. Rohit Sharma,Gynaecologist,19.11335297107609,72.87357746840748,400010,Mulund,B,80,15,"MOL01,MOL02"
DOC033,Dr. Rohit Iyer,Neurologist,19.05902897700544,72.90353024955893,400002,Powai,A,42,30,"MOL03,MOL01"
DOC034,Dr. Simran Nair,Cardiologist,19.082078006497174,72.83865185103998,400007,Kurla,A,47,26,"MOL04,MOL02"
DOC035,Dr. Megha Joshi,Neurologist,19.054077514155477,72.87908929431882,400005,Powai,C,69,33,"MOL04,MOL05"
DOC036,Dr. Varun Nair,Diabetologist,19.117756436184226,72.82165878289278,400002,Ghatkopar,B,35,32,"MOL05,MOL04"
DOC037,Dr. Sneha Sharma,GP,19.10120930582993,72.8426495775198,400006,Dadar,B,33,25,"MOL03,MOL05"
DOC038,Dr. Varun Kulkarni,Neurologist,19.114517279040943,72.8374366429005,400001,Chembur,A,25,18,"MOL04,MOL05"
DOC039,Dr. Tanvi Shah,GP,19.119093773810246,72.85867353463006,400008,Kurla,A,25,21,"MOL02,MOL04"
DOC040,Dr. Aditya Iyer,Neurologist,19.143672998873672,72.83375209441459,400006,Kurla,C,53,25,"MOL04,MOL03"
DOC041,Dr. Anjali Kapoor,Gynaecologist,19.084106635105027,72.83134735212406,400005,Ghatkopar,A,27,15,"MOL03,MOL01"
DOC042,Dr. Riya Joshi,Diabetologist,19.142469361827857,72.9077339353381,400004,Kurla,B,66,21,"MOL01,MOL02"
DOC043,Dr. Shubham Shah,Gynaecologist,19.075794162771516,72.88599840460341,400003,Ghatkopar,A,65,11,"MOL03,MOL01"
DOC044,Dr. Vikram Malhotra,Gynaecologist,19.13172222002012,72.87552008115995,400003,Kurla,A,75,3,"MOL05,MOL03"
DOC045,Dr. Divya Bansal,GP,19.1029650578356,72.84418522909004,400006,Dadar,A,36,33,"MOL01,MOL05"
DOC046,Dr. Ritu Bansal,Cardiologist,19.05931027678059,72.90972157579533,400010,Andheri,A,29,22,"MOL01,MOL02"
DOC047,Dr. Ankit Malhotra,GP,19.140041805716333,72.88331014572732,400010,Powai,C,34,27,"MOL04,MOL05"
DOC048,Dr. Neha Chopra,Gynaecologist,19.08390297910487,72.85492095746126,400010,Powai,A,59,9,"MOL02,MOL05"
DOC049,Dr. Harsh Mehta,Diabetologist,19.12259556788702,72.90971102599526,400004,Dadar,C,24,13,"MOL01,MOL04"
DOC050,Dr. Aarti Bansal,Gynaecologist,19.13870864242651,72.89798755458577,400001,Borivali,B,65,21,"MOL04,MOL01"
